0x803d64,Name,Description,ID,Support Class,Portrait,Map Portrait,Affinity,Unit Sort Order,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,N/A,N/A,N/A,N/A,N/A,CharClassAbility,Support Data Ptr,N/A (Conversation Group),Thunder,Wind,N/A,
0x01 Sigurd,Name_Sigurd,Desc_Sigurd,0x1,0x3,0x2,0x0,LightAffinity,0x1,1,-5,4,4,5,2,0,7,10,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,70,30,30,30,40,5,20,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebac,0x7,NoRank,NoRank,0x0,
0x02 Seliph,Name_Seliph,Desc_Seliph,0x2,0x1,0x4,0x0,NoAffinity,0x3,0,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,NoRank,NoRank,0x0,
0x03 Alec,Name_Alec,Desc_Alec,0x3,0x2b,0x5,0x0,NoAffinity,0x7,0,0,2,3,4,1,0,4,9,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,70,30,40,30,30,5,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,NoRank,NoRank,0x0,
0x04 Naoise,Name_Naoise,Desc_Naoise,0x4,0x2b,0x6,0x0,NoAffinity,0x6,0,0,4,1,2,2,0,4,9,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,80,40,30,20,40,5,20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,NoRank,NoRank,0x0,
0x05 Arden,Name_Arden,Desc_Arden,0x5,0x3c,0x7,0x0,NoAffinity,0x8,0,0,4,0,1,3,0,3,16,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,90,50,10,20,40,5,10,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,NoRank,NoRank,0x0,
0x06 Azelle,Name_Azelle,Desc_Azelle,0x6,0x59,0x8,0x0,NoAffinity,0x9,0,0,0,1,3,1,1,2,6,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,50,10,20,50,20,10,20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,NoRank,NoRank,0x0,
0x07 Lex,Name_Lex,Desc_Lex,0x7,0x37,0x9,0x0,NoAffinity,0xa,0,0,3,4,5,3,0,8,9,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,70,40,20,20,20,5,20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,NoRank,NoRank,0x0,
0x08 Quan,Name_Quan,Desc_Quan,0x8,0x36,0xa,0x0,NoAffinity,0xb,0,0,4,3,3,2,0,5,11,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,70,30,30,20,30,5,10,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,NoRank,NoRank,0x0,
0x09 Ethlyn,Name_Ethlyn,Desc_Ethlyn,0x9,0x2e,0xc,0x0,NoAffinity,0xc,0,0,2,5,6,1,3,8,7,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,40,20,20,30,20,10,10,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,NoRank,NoRank,0x0,
0x0A Finn,Name_Finn,Desc_Finn,0xa,0x35,0xe,0x0,NoAffinity,0xd,0,0,2,2,4,1,0,8,9,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,70,30,40,30,30,5,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,NoRank,NoRank,0x0,
0x0B Midir,Name_Midir,Desc_Midir,0xb,0x39,0xf,0x0,NoAffinity,0x14,0,0,2,1,3,1,0,3,4,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,60,30,30,40,30,5,10,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,NoRank,NoRank,0x0,
0x0C Edain,Name_Edain,Desc_Edain,0xc,0x75,0x10,0x0,NoAffinity,0xf,0,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,50,20,20,30,20,5,30,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,NoRank,NoRank,0x0,
0x0D Dew,Name_Dew,Desc_Dew,0xd,0x10,0x11,0x0,NoAffinity,0x10,0,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,50,40,40,40,40,10,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,NoRank,NoRank,0x0,
0x0E Ayra,Name_Ayra,Desc_Ayra,0xe,0x9,0x13,0x0,NoAffinity,0x1f,0,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,50,30,30,30,20,5,20,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,NoRank,NoRank,0x0,
0x0F Jamke,Name_Jamke,Desc_Jamke,0xf,0x19,0x14,0x0,NoAffinity,0x1,0,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,90,50,10,30,30,5,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,NoRank,NoRank,0x0,
0x10 Deirdre,Name_Deirdre,Desc_Deirdre,0x10,0x5e,0x16,0x0,NoAffinity,0x5,0,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,40,10,20,10,10,10,10,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,NoRank,NoRank,0x0,
0x11 Lachesis,Name_Lachesis,Desc_Lachesis,0x11,0x5,0x18,0x0,NoAffinity,0x4,0,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,40,20,10,20,20,10,40,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,NoRank,NoRank,0x0,
