0x01 Sigurd
0x02 Seliph
0x03 Alec
0x04 Naoise
0x05 Arden
0x06 Azelle
0x07 Lex
0x08 Quan
0x09 Ethlyn
0x0A Finn
0x0B Midir
0x0C Edain
0x0D Dew
0x0E Ayra
0x0F Jamke
0x10 Deirdre
0x11 Lachesis
0x12 Chulainn
0x13 Beowolf
0x14 Lewyn
0x15 Silvia
0x16 Erinys
0x17 Hopper
0x18 Indech
0x19 Claud
0x1A Tailtiu
0x1B Callista
0x1C Brigid
0x1D Larcei
0x1E Creidne
0x1F Scathach
0x20 Dalvin
0x21 Lana
0x22 Muirne
0x23 Diarmuid
0x24 Tristan
0x25 Lester
0x26 Deimne
0x27 Fee
0x28 Hermina
0x29 Arthur
0x2A Amid
0x2B Patty
0x2C Daisy
0x2D Nanna
0x2E Jeanne
0x2F Lene
0x30 Laylea
0x31 Zagreus
0x32 Melchior
0x33 Tine
0x34 Linda
0x35 Febail
0x36 Asaello
0x37 Persephone
0x38 Nehalennia
0x39 Ced
0x3A Hawk
0x3B Coirpre
0x3C Charlot
0x3D Oifey (Adult)
0x3E Julia
0x3F Iuchar
0x40 Iucharba
0x41 Shannan (Adult)
0x42 Ares
0x43 Aife
0x44 Leif
0x45 Clement
0x46 Hannibal
0x47 Shannam
0x48 Altena
0x49 Saias
0x4A Arion
0x4B DiMaggio
0x4C Gerrard
0x4D Cimbaeth
0x4E Munnir
0x4F Burkaul
0x50 Sandima
0x51 Elliot
0x52 Graham
0x53 Philip
0x54 Bordeaux
0x55 Banquo
0x56 Ross
0x57 Macbeth
0x58 Waltz
0x59 Elling
0x5A Payne
0x5B Zane
0x5C Chagall
0x5D Lino
0x5E Jacobin
0x5F Estrella
0x60 Othello
0x61 Papillon
0x62 Pizare
0x63 Duvall
0x64 Cuvuli
0x65 Marlon
0x66 Snevejr
0x67 Dithorba
0x68 Myos
0x69 Ivan
0x6A Pamela
0x6B Donovan
0x6C Lamia
0x6D Daccar
0x6E Slayder
0x6F Andrey
0x70 Lombard
0x71 Magorn
0x72 Vaja
0x73 Reptor
0x74 Harold
0x75 Schmidt
0x76 Danann
0x77 Kutuzov
0x78 Liza
0x79 Ishtore
0x7A Javarro
0x7B Bramsel
0x7C Banba
0x7D Eriu
0x7E Fotla
0x7F Tonnamin
0x80 Bloom
0x81 Muhammad
0x82 Ovo
0x83 Reinhardt
0x84 Ishtar
0x85 Coulter
0x86 Maykov
0x87 Kanatz
0x88 Distler
0x89 Travant
0x8A Musar
0x8B Judah
0x8C Leidan
0x8D Lance
0x8E Lancelot
0x8F Riddell
0x90 Hilda
0x91 Morrigan
0x92 Zagam
0x93 Arvis (Gen 2)
0x94 Roberto
0x95 Boyce
0x96 Rodan
0x97 Juphiel
0x98 Fisher
0x99 Brian
0x9A Dahlia
0x9B Dagon
0x9C Scipio
0x9D Baran
0x9E Meng
0x9F Bleg
0xA0 Mabel
0xA1 Veld
0xA2 Manfroy
0xA3 Julius
0xA4 Julius (Loptous)
0xA5 Heim
0xA6 Baldr
0xA7 Hodr
0xA8 Od
0xA9 Njorun
0xAA Dainn
0xAB Nal
0xAC Ullr
0xAD Bragi
0xAE Fjalar
0xAF Thrud
0xB0 Ced
0xB1 Verdane (1)
0xB2 Verdane (2)
0xB3 Heirhein
0xB4 Anphony
0xB5 Mackily
0xB6 Silesse
0xB7 Agusty
0xB8 Madino
0xB9 Silvail
0xBA Orgahil
0xBB CrossKnight
0xBC Thove
0xBD Zaxon
0xBE BeigeRitter
0xBF Assassin
0xC0 Lubeck
0xC1 Thracia
0xC2 Velthomer
0xC3 Friege
0xC4 Ganeishire
0xC5 Sophara
0xC6 Isaach
0xC7 Rivough
0xC8 Loptrian
0xC9 Alster
0xCA Melgen
0xCB Connaught
0xCC Kapathogia
0xCD Grutia
0xCE Grannvale
0xCF Miletos
0xD0 RotenRitter
0xD1 Edda
0xD2 GrauenRitter
0xD3 GelbenRitter
0xD4 Belhalla
0xD5 Ruffian
0xD6 Mercenary
0xD7 -
0xD8 -
0xD9 -
0xDA Bartholomew
0xDB Peksimet
0xDC Shamash
0xDD -
0xDE -
0xDF -
0xE0 -
0xE1 -
0xE2 Leonster
0xE3 AnnandSquad
0xE4 Eldigan
0xE5 Annand
0xE6 Arvis
0xE7 Eve
0xE8 Eva
0xE9 Alva
0xEA Oifey
0xEB Byron
0xEC Aida
0xED Palmarch
0xEE Augury
0xEF ArenaGuy
0xF0 BlacksmithGuy
0xF1 VendorDude
0xF2 PawnshopGuy
0xF3 Anna
0xF4 Jake
0xF5 Arena (1)
0xF6 Arena (2)
0xF7 Arena (3)
0xF8 Arena (4)
0xF9 Arena (5)
0xFA Arena (6)
0xFB Arena (7)
0xFC -
0xFD Enemy (Arena)
0xFE Wall
0xFF Snag
